id,source,name,address,place_type,price_level,user_rating_google,user_rating_yelp,avg_user_rating,latitude,longitude,nearest_metro_station_name,nearest_metro_distance_meters,nearest_metro_route_codes,detail_url
ChIJRV6-TvWzwoARqRp8PEM3eGk,google,Bo Bridges Gallery,"1108 Manhattan Ave, Manhattan Beach, CA 90266, USA",art_gallery,,5,,5.0,33.8843904,-118.4103751,Sepulveda / 8th,1315.5,232,https://www.google.com/maps/place/?q=place_id:ChIJRV6-TvWzwoARqRp8PEM3eGk
LAfme3KRvncM8yt7dYlOtA,yelp,nonfromseoul,"777 S Alameda St, Los Angeles, CA",art_gallery,,,5.0,5.0,34.0337566,-118.24156104018698,Central / 8th,159.9,53,https://www.yelp.com/biz/nonfromseoul-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
ChIJn7HsQae8woARP07KjYkAhjc,google,FrameStore - Custom Framing Brentwood,"11684 San Vicente Blvd, Los Angeles, CA 90049, USA",art_gallery,,4.9,,4.9,34.0535746,-118.4647066,Wilshire / Barrington,562.9,720,https://www.google.com/maps/place/?q=place_id:ChIJn7HsQae8woARP07KjYkAhjc
ChIJ7cEs7nS7woARdHcVnqEIRvc,google,Giant Robot Store,"2015 Sawtelle Blvd, Los Angeles, CA 90025, USA",art_gallery,,4.6,,4.6,34.040408,-118.443431,Nebraska / Sepulveda,591.8,4,https://www.google.com/maps/place/?q=place_id:ChIJ7cEs7nS7woARdHcVnqEIRvc
2JQoxcEAuN2wBufBh-x_rQ,yelp,Peace Yoga Gallery,"903 S Main St, Los Angeles, CA",art_gallery,1,,4.4,4.4,34.0415734,-118.2552365,Main / 9th,27.4,33,https://www.yelp.com/biz/peace-yoga-gallery-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
ChIJFYDOd3HDwoAR_DhdrBevWzE,google,Gold Bug,"38 E Holly St, Pasadena, CA 91103, USA",art_gallery,,4.3,,4.3,34.1474013,-118.1496303,Main / Fremont,5781.7,78,https://www.google.com/maps/place/?q=place_id:ChIJFYDOd3HDwoAR_DhdrBevWzE
7rCrYXRFdXA8E12GzJG6Dw,yelp,2220 Arts,"2220 Beverly Blvd, Los Angeles, CA",attraction,,,5.0,5.0,34.067271881941345,-118.27225830405948,Beverly / Park View,166.2,14,https://www.yelp.com/biz/2220-arts-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
493Tlf_y7vWh4GXuha5zcw,yelp,Katrina Ji,"Los Angeles , CA",attraction,,,5.0,5.0,33.6776210124477,-117.8329125,Downtown Long Beach Station,34528.3,232,https://www.yelp.com/biz/katrina-ji-los-angeles-6?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
DUebmbHW2DsZ2sGS5wgRJA,yelp,Rock Climb Every Day,"Los Angeles, CA",attraction,,,5.0,5.0,34.05289,-118.26351,6th / Bixel,163.7,20,https://www.yelp.com/biz/rock-climb-every-day-los-angeles-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
6qSgTuP2eX_fJG_v87CQkw,yelp,The Teahouse Company,"Santa Monica, CA",attraction,2,,4.9,4.9,34.1057230577897,-118.223079577246,Broadway / Avenue 22,3591.9,45,https://www.yelp.com/biz/the-teahouse-company-santa-monica?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
A4szYOkorXZF8ksw-BpWIw,yelp,The Aerial House,"5230 Alhambra Ave, Los Angeles, CA",attraction,,,4.9,4.9,34.0740244349641,-118.171424344182,Valley / Block,99.8,76,https://www.yelp.com/biz/the-aerial-house-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
